Date,Unregulated Inflow*** (cfs),,,,,,,,,
2-May-69,3456, , , , , , , , , 
3-May-69,3638, , , , , , , , , 
4-May-69,3752, , , , , , , , , 
5-May-69,3399, , , , , , , , , 
6-May-69,3220, , , , , , , , , 
7-May-69,3134, , , , , , , , , 
8-May-69,2890, , , , , , , , , 
9-May-69,2629, , , , , , , , , 
10-May-69,2935, , , , , , , , , 
11-May-69,3317, , , , , , , , , 
12-May-69,3596, , , , , , , , , 
13-May-69,3709, , , , , , , , , 
14-May-69,3579, , , , , , , , , 
15-May-69,4058, , , , , , , , , 
16-May-69,3697, , , , , , , , , 
17-May-69,3785, , , , , , , , , 
18-May-69,4134, , , , , , , , , 
19-May-69,4523, , , , , , , , , 
20-May-69,4722, , , , , , , , , 
21-May-69,5265, , , , , , , , , 
22-May-69,5486, , , , , , , , , 
23-May-69,4900, , , , , , , , , 
24-May-69,5161, , , , , , , , , 
25-May-69,5110, , , , , , , , , 
26-May-69,5258, , , , , , , , , 
27-May-69,5926, , , , , , , , , 
28-May-69,5885, , , , , , , , , 
29-May-69,5523, , , , , , , , , 
30-May-69,6015, , , , , , , , , 
31-May-69,5882, , , , , , , , , 
1-Jun-69,5370, , , , , , , , , 
2-Jun-69,4557, , , , , , , , , 
3-Jun-69,4285, , , , , , , , , 
4-Jun-69,3629, , , , , , , , , 
5-Jun-69,3946, , , , , , , , , 
6-Jun-69,4274, , , , , , , , , 
7-Jun-69,4487, , , , , , , , , 
8-Jun-69,4329, , , , , , , , , 
9-Jun-69,4215, , , , , , , , , 
10-Jun-69,3892, , , , , , , , , 
11-Jun-69,3895, , , , , , , , , 
12-Jun-69,3436, , , , , , , , , 
13-Jun-69,3072, , , , , , , , , 
14-Jun-69,2930, , , , , , , , , 
15-Jun-69,3079, , , , , , , , , 
16-Jun-69,3201, , , , , , , , , 
17-Jun-69,3687, , , , , , , , , 
18-Jun-69,3555, , , , , , , , , 
19-Jun-69,3263, , , , , , , , , 
20-Jun-69,2999, , , , , , , , , 
21-Jun-69,2901, , , , , , , , , 
22-Jun-69,2766, , , , , , , , , 
23-Jun-69,2840, , , , , , , , , 
24-Jun-69,3438, , , , , , , , , 
25-Jun-69,3950, , , , , , , , , 
26-Jun-69,4052, , , , , , , , , 
27-Jun-69,3249, , , , , , , , , 
28-Jun-69,3056, , , , , , , , , 
29-Jun-69,3079, , , , , , , , , 
30-Jun-69,3273, , , , , , , , , 
1-Jul-69,3140, , , , , , , , , 
2-Jul-69,3187, , , , , , , , , 
3-Jul-69,3181, , , , , , , , , 
4-Jul-69,3596, , , , , , , , , 
5-Jul-69,3458, , , , , , , , , 
6-Jul-69,3206, , , , , , , , , 
7-Jul-69,2694, , , , , , , , , 
8-Jul-69,2522, , , , , , , , , 
9-Jul-69,2085, , , , , , , , , 
10-Jul-69,2134, , , , , , , , , 
11-Jul-69,1889, , , , , , , , , 
12-Jul-69,1896, , , , , , , , , 
13-Jul-69,1968, , , , , , , , , 
14-Jul-69,2060, , , , , , , , , 
15-Jul-69,1987, , , , , , , , , 
16-Jul-69,2140, , , , , , , , , 
17-Jul-69,2038, , , , , , , , , 
18-Jul-69,1848, , , , , , , , , 
19-Jul-69,2090, , , , , , , , , 
20-Jul-69,2338, , , , , , , , , 
21-Jul-69,2261, , , , , , , , , 
22-Jul-69,2173, , , , , , , , , 
23-Jul-69,1764, , , , , , , , , 
24-Jul-69,1957, , , , , , , , , 
25-Jul-69,1983, , , , , , , , , 
26-Jul-69,1866, , , , , , , , , 
27-Jul-69,1525, , , , , , , , , 
28-Jul-69,1621, , , , , , , , , 
29-Jul-69,2048, , , , , , , , , 
30-Jul-69,1444, , , , , , , , , 
31-Jul-69,1667, , , , , , , , , 
1-Aug-69,1499, , , , , , , , , 
2-Aug-69,1420, , , , , , , , , 
3-Aug-69,1243, , , , , , , , , 
4-Aug-69,1366, , , , , , , , , 
5-Aug-69,1139, , , , , , , , , 
6-Aug-69,1750, , , , , , , , , 
7-Aug-69,599, , , , , , , , , 
8-Aug-69,1119, , , , , , , , , 
9-Aug-69,826, , , , , , , , , 
10-Aug-69,1106, , , , , , , , , 
11-Aug-69,968, , , , , , , , , 
12-Aug-69,1561, , , , , , , , , 
13-Aug-69,693, , , , , , , , , 
14-Aug-69,1379, , , , , , , , , 
15-Aug-69,963, , , , , , , , , 
16-Aug-69,820, , , , , , , , , 
17-Aug-69,1001, , , , , , , , , 
18-Aug-69,971, , , , , , , , , 
19-Aug-69,859, , , , , , , , , 
20-Aug-69,996, , , , , , , , , 
21-Aug-69,965, , , , , , , , , 
22-Aug-69,1099, , , , , , , , , 
23-Aug-69,715, , , , , , , , , 
24-Aug-69,706, , , , , , , , , 
25-Aug-69,855, , , , , , , , , 
26-Aug-69,819, , , , , , , , , 
27-Aug-69,744, , , , , , , , , 
28-Aug-69,664, , , , , , , , , 
29-Aug-69,759, , , , , , , , , 
30-Aug-69,760, , , , , , , , , 
31-Aug-69,537, , , , , , , , , 
1-Sep-69,722, , , , , , , , , 
2-Sep-69,453, , , , , , , , , 
3-Sep-69,443, , , , , , , , , 
4-Sep-69,445, , , , , , , , , 
5-Sep-69,503, , , , , , , , , 
6-Sep-69,350, , , , , , , , , 
7-Sep-69,459, , , , , , , , , 
8-Sep-69,438, , , , , , , , , 
9-Sep-69,723, , , , , , , , , 
10-Sep-69,596, , , , , , , , , 
11-Sep-69,507, , , , , , , , , 
12-Sep-69,694, , , , , , , , , 
13-Sep-69,405, , , , , , , , , 
14-Sep-69,459, , , , , , , , , 
15-Sep-69,511, , , , , , , , , 
16-Sep-69,596, , , , , , , , , 
17-Sep-69,649, , , , , , , , , 
18-Sep-69,634, , , , , , , , , 
19-Sep-69,600, , , , , , , , , 
20-Sep-69,707, , , , , , , , , 
21-Sep-69,624, , , , , , , , , 
22-Sep-69,822, , , , , , , , , 
23-Sep-69,826, , , , , , , , , 
24-Sep-69,680, , , , , , , , , 
25-Sep-69,620, , , , , , , , , 
26-Sep-69,585, , , , , , , , , 
27-Sep-69,526, , , , , , , , , 
28-Sep-69,507, , , , , , , , , 
29-Sep-69,476, , , , , , , , , 
30-Sep-69,642, , , , , , , , , 
1-Oct-69,575, , , , , , , , , 
2-Oct-69,722, , , , , , , , , 
3-Oct-69,1173, , , , , , , , , 
4-Oct-69,1165, , , , , , , , , 
5-Oct-69,891, , , , , , , , , 
6-Oct-69,837, , , , , , , , , 
7-Oct-69,1015, , , , , , , , , 
8-Oct-69,923, , , , , , , , , 
9-Oct-69,1124, , , , , , , , , 
10-Oct-69,1275, , , , , , , , , 
11-Oct-69,1213, , , , , , , , , 
12-Oct-69,871, , , , , , , , , 
13-Oct-69,1040, , , , , , , , , 
14-Oct-69,866, , , , , , , , , 
15-Oct-69,1548, , , , , , , , , 
16-Oct-69,1096, , , , , , , , , 
17-Oct-69,810, , , , , , , , , 
18-Oct-69,247, , , , , , , , , 
19-Oct-69,315, , , , , , , , , 
20-Oct-69,1786, , , , , , , , , 
21-Oct-69,1827, , , , , , , , , 
22-Oct-69,1212, , , , , , , , , 
23-Oct-69,1193, , , , , , , , , 
24-Oct-69,874, , , , , , , , , 
25-Oct-69,872, , , , , , , , , 
26-Oct-69,859, , , , , , , , , 
27-Oct-69,925, , , , , , , , , 
28-Oct-69,1275, , , , , , , , , 
29-Oct-69,670, , , , , , , , , 
30-Oct-69,790, , , , , , , , , 
31-Oct-69,803, , , , , , , , , 
1-Nov-69,773, , , , , , , , , 
2-Nov-69,905, , , , , , , , , 
3-Nov-69,647, , , , , , , , , 
4-Nov-69,729, , , , , , , , , 
5-Nov-69,817, , , , , , , , , 
6-Nov-69,1118, , , , , , , , , 
7-Nov-69,591, , , , , , , , , 
8-Nov-69,618, , , , , , , , , 
9-Nov-69,414, , , , , , , , , 
10-Nov-69,787, , , , , , , , , 
11-Nov-69,794, , , , , , , , , 
12-Nov-69,640, , , , , , , , , 
13-Nov-69,926, , , , , , , , , 
14-Nov-69,1158, , , , , , , , , 
15-Nov-69,468, , , , , , , , , 
16-Nov-69,434, , , , , , , , , 
17-Nov-69,809, , , , , , , , , 
18-Nov-69,502, , , , , , , , , 
19-Nov-69,359, , , , , , , , , 
20-Nov-69,516, , , , , , , , , 
21-Nov-69,246, , , , , , , , , 
22-Nov-69,613, , , , , , , , , 
23-Nov-69,503, , , , , , , , , 
24-Nov-69,512, , , , , , , , , 
25-Nov-69,167, , , , , , , , , 
26-Nov-69,17, , , , , , , , , 
27-Nov-69,114, , , , , , , , , 
28-Nov-69,289, , , , , , , , , 
29-Nov-69,529, , , , , , , , , 
30-Nov-69,433, , , , , , , , , 
1-Dec-69,390, , , , , , , , , 
2-Dec-69,618, , , , , , , , , 
3-Dec-69,664, , , , , , , , , 
4-Dec-69,570, , , , , , , , , 
5-Dec-69,661, , , , , , , , , 
6-Dec-69,499, , , , , , , , , 
7-Dec-69,515, , , , , , , , , 
8-Dec-69,502, , , , , , , , , 
9-Dec-69,217, , , , , , , , , 
10-Dec-69,647, , , , , , , , , 
11-Dec-69,357, , , , , , , , , 
12-Dec-69,627, , , , , , , , , 
13-Dec-69,453, , , , , , , , , 
14-Dec-69,404, , , , , , , , , 
15-Dec-69,586, , , , , , , , , 
16-Dec-69,364, , , , , , , , , 
17-Dec-69,240, , , , , , , , , 
18-Dec-69,350, , , , , , , , , 
19-Dec-69,340, , , , , , , , , 
20-Dec-69,225, , , , , , , , , 
21-Dec-69,168, , , , , , , , , 
22-Dec-69,909, , , , , , , , , 
23-Dec-69,823, , , , , , , , , 
24-Dec-69,416, , , , , , , , , 
25-Dec-69,430, , , , , , , , , 
26-Dec-69,417, , , , , , , , , 
27-Dec-69,414, , , , , , , , , 
28-Dec-69,493, , , , , , , , , 
29-Dec-69,57, , , , , , , , , 
30-Dec-69,318, , , , , , , , , 
31-Dec-69,221, , , , , , , , , 
1-Jan-70,447, , , , , , , , , 
2-Jan-70,315, , , , , , , , , 
3-Jan-70,319, , , , , , , , , 
4-Jan-70,308, , , , , , , , , 
5-Jan-70,349, , , , , , , , , 
6-Jan-70,341, , , , , , , , , 
7-Jan-70,355, , , , , , , , , 
8-Jan-70,308, , , , , , , , , 
9-Jan-70,280, , , , , , , , , 
10-Jan-70,291, , , , , , , , , 
11-Jan-70,383, , , , , , , , , 
12-Jan-70,550, , , , , , , , , 
13-Jan-70,416, , , , , , , , , 
14-Jan-70,492, , , , , , , , , 
15-Jan-70,661, , , , , , , , , 
16-Jan-70,471, , , , , , , , , 
17-Jan-70,505, , , , , , , , , 
18-Jan-70,526, , , , , , , , , 
19-Jan-70,374, , , , , , , , , 
20-Jan-70,280, , , , , , , , , 
21-Jan-70,659, , , , , , , , , 
22-Jan-70,513, , , , , , , , , 
23-Jan-70,542, , , , , , , , , 
24-Jan-70,382, , , , , , , , , 
25-Jan-70,647, , , , , , , , , 
26-Jan-70,1175, , , , , , , , , 
27-Jan-70,967, , , , , , , , , 
28-Jan-70,99, , , , , , , , , 
29-Jan-70,135, , , , , , , , , 
30-Jan-70,234, , , , , , , , , 
31-Jan-70,81, , , , , , , , , 
1-Feb-70,294, , , , , , , , , 
2-Feb-70,431, , , , , , , , , 
3-Feb-70,369, , , , , , , , , 
4-Feb-70,462, , , , , , , , , 
5-Feb-70,325, , , , , , , , , 
6-Feb-70,558, , , , , , , , , 
7-Feb-70,308, , , , , , , , , 
8-Feb-70,428, , , , , , , , , 
9-Feb-70,327, , , , , , , , , 
10-Feb-70,468, , , , , , , , , 
11-Feb-70,389, , , , , , , , , 
12-Feb-70,489, , , , , , , , , 
13-Feb-70,560, , , , , , , , , 
14-Feb-70,505, , , , , , , , , 
15-Feb-70,599, , , , , , , , , 
16-Feb-70,400, , , , , , , , , 
17-Feb-70,539, , , , , , , , , 
18-Feb-70,541, , , , , , , , , 
19-Feb-70,470, , , , , , , , , 
20-Feb-70,324, , , , , , , , , 
21-Feb-70,552, , , , , , , , , 
22-Feb-70,727, , , , , , , , , 
23-Feb-70,378, , , , , , , , , 
24-Feb-70,460, , , , , , , , , 
25-Feb-70,596, , , , , , , , , 
26-Feb-70,633, , , , , , , , , 
27-Feb-70,499, , , , , , , , , 
28-Feb-70,501, , , , , , , , , 
1-Mar-70,597, , , , , , , , , 
2-Mar-70,702, , , , , , , , , 
3-Mar-70,640, , , , , , , , , 
4-Mar-70,609, , , , , , , , , 
5-Mar-70,657, , , , , , , , , 
6-Mar-70,516, , , , , , , , , 
7-Mar-70,633, , , , , , , , , 
8-Mar-70,588, , , , , , , , , 
9-Mar-70,588, , , , , , , , , 
10-Mar-70,758, , , , , , , , , 
11-Mar-70,542, , , , , , , , , 
12-Mar-70,519, , , , , , , , , 
13-Mar-70,605, , , , , , , , , 
14-Mar-70,520, , , , , , , , , 
15-Mar-70,623, , , , , , , , , 
16-Mar-70,748, , , , , , , , , 
17-Mar-70,533, , , , , , , , , 
18-Mar-70,665, , , , , , , , , 
19-Mar-70,452, , , , , , , , , 
20-Mar-70,499, , , , , , , , , 
21-Mar-70,672, , , , , , , , , 
22-Mar-70,707, , , , , , , , , 
23-Mar-70,465, , , , , , , , , 
24-Mar-70,557, , , , , , , , , 
25-Mar-70,796, , , , , , , , , 
26-Mar-70,493, , , , , , , , , 
27-Mar-70,597, , , , , , , , , 
28-Mar-70,639, , , , , , , , , 
29-Mar-70,348, , , , , , , , , 
30-Mar-70,590, , , , , , , , , 
31-Mar-70,460, , , , , , , , , 
1-Apr-70,465, , , , , , , , , 
2-Apr-70,488, , , , , , , , , 
3-Apr-70,446, , , , , , , , , 
4-Apr-70,466, , , , , , , , , 
5-Apr-70,529, , , , , , , , , 
6-Apr-70,681, , , , , , , , , 
7-Apr-70,882, , , , , , , , , 
8-Apr-70,1065, , , , , , , , , 
9-Apr-70,1341, , , , , , , , , 
10-Apr-70,1650, , , , , , , , , 
11-Apr-70,1675, , , , , , , , , 
12-Apr-70,962, , , , , , , , , 
13-Apr-70,814, , , , , , , , , 
14-Apr-70,840, , , , , , , , , 
15-Apr-70,720, , , , , , , , , 
16-Apr-70,910, , , , , , , , , 
17-Apr-70,1305, , , , , , , , , 
18-Apr-70,1460, , , , , , , , , 
19-Apr-70,1120, , , , , , , , , 
20-Apr-70,792, , , , , , , , , 
21-Apr-70,730, , , , , , , , , 
22-Apr-70,769, , , , , , , , , 
23-Apr-70,869, , , , , , , , , 
24-Apr-70,806, , , , , , , , , 
25-Apr-70,1350, , , , , , , , , 
26-Apr-70,2027, , , , , , , , , 
27-Apr-70,2994, , , , , , , , , 
28-Apr-70,3126, , , , , , , , , 
29-Apr-70,2191, , , , , , , , , 
30-Apr-70,1591, , , , , , , , , 
1-May-70,1460, , , , , , , , , 
2-May-70,1558, , , , , , , , , 
3-May-70,1824, , , , , , , , , 
4-May-70,2785, , , , , , , , , 
5-May-70,3802, , , , , , , , , 
6-May-70,4549, , , , , , , , , 
7-May-70,5370, , , , , , , , , 
8-May-70,5426, , , , , , , , , 
9-May-70,5050, , , , , , , , , 
10-May-70,4769, , , , , , , , , 
11-May-70,5357, , , , , , , , , 
12-May-70,6878, , , , , , , , , 
13-May-70,7250, , , , , , , , , 
14-May-70,7225, , , , , , , , , 
15-May-70,7057, , , , , , , , , 
16-May-70,7261, , , , , , , , , 
17-May-70,8388, , , , , , , , , 
18-May-70,9713, , , , , , , , , 
19-May-70,9824, , , , , , , , , 
20-May-70,9849, , , , , , , , , 
21-May-70,9410, , , , , , , , , 
22-May-70,9627, , , , , , , , , 
23-May-70,9718, , , , , , , , , 
24-May-70,9167, , , , , , , , , 
25-May-70,8917, , , , , , , , , 
26-May-70,9025, , , , , , , , , 
27-May-70,9157, , , , , , , , , 
28-May-70,9204, , , , , , , , , 
29-May-70,7990, , , , , , , , , 
30-May-70,7799, , , , , , , , , 
31-May-70,7210, , , , , , , , , 
1-Jun-70,6981, , , , , , , , , 
2-Jun-70,6142, , , , , , , , , 
3-Jun-70,6124, , , , , , , , , 
4-Jun-70,6319, , , , , , , , , 
5-Jun-70,5912, , , , , , , , , 
6-Jun-70,5569, , , , , , , , , 
7-Jun-70,5620, , , , , , , , , 
8-Jun-70,5755, , , , , , , , , 
9-Jun-70,5857, , , , , , , , , 
10-Jun-70,5805, , , , , , , , , 
11-Jun-70,5891, , , , , , , , , 
12-Jun-70,5123, , , , , , , , , 
13-Jun-70,4636, , , , , , , , , 
14-Jun-70,4224, , , , , , , , , 
15-Jun-70,4535, , , , , , , , , 
16-Jun-70,4314, , , , , , , , , 
17-Jun-70,4501, , , , , , , , , 
18-Jun-70,4816, , , , , , , , , 
19-Jun-70,5149, , , , , , , , , 
20-Jun-70,5303, , , , , , , , , 
21-Jun-70,5613, , , , , , , , , 
22-Jun-70,5802, , , , , , , , , 
23-Jun-70,5904, , , , , , , , , 
24-Jun-70,5868, , , , , , , , , 
25-Jun-70,5698, , , , , , , , , 
26-Jun-70,5321, , , , , , , , , 
27-Jun-70,4263, , , , , , , , , 
28-Jun-70,4126, , , , , , , , , 
29-Jun-70,4714, , , , , , , , , 
30-Jun-70,4312, , , , , , , , , 
1-Jul-70,3838, , , , , , , , , 
2-Jul-70,3103, , , , , , , , , 
3-Jul-70,3110, , , , , , , , , 
4-Jul-70,2922, , , , , , , , , 
5-Jul-70,2985, , , , , , , , , 
6-Jul-70,3185, , , , , , , , , 
7-Jul-70,3130, , , , , , , , , 
8-Jul-70,3344, , , , , , , , , 
9-Jul-70,3422, , , , , , , , , 
10-Jul-70,3240, , , , , , , , , 
11-Jul-70,2499, , , , , , , , , 
12-Jul-70,2100, , , , , , , , , 
13-Jul-70,1924, , , , , , , , , 
14-Jul-70,2147, , , , , , , , , 
15-Jul-70,1868, , , , , , , , , 
16-Jul-70,1775, , , , , , , , , 
17-Jul-70,1748, , , , , , , , , 
18-Jul-70,1885, , , , , , , , , 
19-Jul-70,1919, , , , , , , , , 
20-Jul-70,1825, , , , , , , , , 
21-Jul-70,1614, , , , , , , , , 
22-Jul-70,1932, , , , , , , , , 
23-Jul-70,1843, , , , , , , , , 
24-Jul-70,1830, , , , , , , , , 
25-Jul-70,1637, , , , , , , , , 
26-Jul-70,1774, , , , , , , , , 
27-Jul-70,1635, , , , , , , , , 
28-Jul-70,1696, , , , , , , , , 
29-Jul-70,1502, , , , , , , , , 
30-Jul-70,1308, , , , , , , , , 
31-Jul-70,1125, , , , , , , , , 
1-Aug-70,1284, , , , , , , , , 
2-Aug-70,1149, , , , , , , , , 
3-Aug-70,1343, , , , , , , , , 
4-Aug-70,1269, , , , , , , , , 
5-Aug-70,1479, , , , , , , , , 
6-Aug-70,1274, , , , , , , , , 
7-Aug-70,1468, , , , , , , , , 
8-Aug-70,1296, , , , , , , , , 
9-Aug-70,1315, , , , , , , , , 
10-Aug-70,1264, , , , , , , , , 
11-Aug-70,1135, , , , , , , , , 
12-Aug-70,1776, , , , , , , , , 
13-Aug-70,888, , , , , , , , , 
14-Aug-70,1305, , , , , , , , , 
15-Aug-70,1065, , , , , , , , , 
16-Aug-70,548, , , , , , , , , 
17-Aug-70,1678, , , , , , , , , 
18-Aug-70,1297, , , , , , , , , 
19-Aug-70,1219, , , , , , , , , 
20-Aug-70,1718, , , , , , , , , 
21-Aug-70,1937, , , , , , , , , 
22-Aug-70,1564, , , , , , , , , 
23-Aug-70,1596, , , , , , , , , 
24-Aug-70,1320, , , , , , , , , 
25-Aug-70,1224, , , , , , , , , 
26-Aug-70,1177, , , , , , , , , 
27-Aug-70,1157, , , , , , , , , 
28-Aug-70,1344, , , , , , , , , 
29-Aug-70,1200, , , , , , , , , 
30-Aug-70,1327, , , , , , , , , 
31-Aug-70,1219, , , , , , , , , 
1-Sep-70,1340, , , , , , , , , 
2-Sep-70,1170, , , , , , , , , 
3-Sep-70,1284, , , , , , , , , 
4-Sep-70,1264, , , , , , , , , 
5-Sep-70,1596, , , , , , , , , 
6-Sep-70,2950, , , , , , , , , 
7-Sep-70,2687, , , , , , , , , 
8-Sep-70,2268, , , , , , , , , 
9-Sep-70,1870, , , , , , , , , 
10-Sep-70,1727, , , , , , , , , 
11-Sep-70,1575, , , , , , , , , 
12-Sep-70,2563, , , , , , , , , 
13-Sep-70,3477, , , , , , , , , 
14-Sep-70,3185, , , , , , , , , 
15-Sep-70,3147, , , , , , , , , 
16-Sep-70,2576, , , , , , , , , 
17-Sep-70,2126, , , , , , , , , 
18-Sep-70,1961, , , , , , , , , 
19-Sep-70,1809, , , , , , , , , 
20-Sep-70,1497, , , , , , , , , 
21-Sep-70,1094, , , , , , , , , 
22-Sep-70,1527, , , , , , , , , 
23-Sep-70,1519, , , , , , , , , 
24-Sep-70,1394, , , , , , , , , 
25-Sep-70,1486, , , , , , , , , 
26-Sep-70,1428, , , , , , , , , 
27-Sep-70,1094, , , , , , , , , 
28-Sep-70,1000, , , , , , , , , 
29-Sep-70,1139, , , , , , , , , 
30-Sep-70,1060, , , , , , , , , 
1-Oct-70,1332, , , , , , , , , 
2-Oct-70,966, , , , , , , , , 
3-Oct-70,989, , , , , , , , , 
4-Oct-70,1155, , , , , , , , , 
5-Oct-70,862, , , , , , , , , 
6-Oct-70,1036, , , , , , , , , 
7-Oct-70,797, , , , , , , , , 
8-Oct-70,1057, , , , , , , , , 
9-Oct-70,1100, , , , , , , , , 
10-Oct-70,1245, , , , , , , , , 
11-Oct-70,1052, , , , , , , , , 
12-Oct-70,1112, , , , , , , , , 
13-Oct-70,1159, , , , , , , , , 
14-Oct-70,1133, , , , , , , , , 
15-Oct-70,1180, , , , , , , , , 
16-Oct-70,882, , , , , , , , , 
17-Oct-70,1039, , , , , , , , , 
18-Oct-70,938, , , , , , , , , 
19-Oct-70,902, , , , , , , , , 
